m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5087, 7973, 1, 7.23, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5087, 7973, 1, 12.30, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5087, 7973, 1, 0.54, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5087, 7973, 1, 11.21, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5087, 7973, 1, 5.25, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5087, 7973, 1, 7.59, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5080, 7973, 1, 2.13, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5080, 7973, 1, 3.62, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5080, 7973, 1, 0.16, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5080, 7973, 1, 3.30, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5080, 7973, 1, 1.55, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5080, 7973, 1, 2.24, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5095, 7973, 1, 1.44, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5095, 7973, 1, 2.43, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5095, 7973, 1, 0.11, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5095, 7973, 1, 2.23, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5095, 7973, 1, 1.04, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5095, 7973, 1, 1.51, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2040, 7973, 1, 13.11, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2040, 7973, 1, 22.30, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2040, 7973, 1, 0.98, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2040, 7973, 1, 20.33, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2040, 7973, 1, 9.51, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 2040, 7973, 1, 13.77, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5085, 7973, 1, 78.69, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 7973, 1, 133.82, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5085, 7973, 1, 5.91, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 7973, 1, 122.00, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5085, 7973, 1, 57.09, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5085, 7973, 1, 82.63, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2041, 7973, 1, 2.12, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2041, 7973, 1, 3.59, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2041, 7973, 1, 0.16, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2041, 7973, 1, 3.29, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2041, 7973, 1, 1.54, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 2041, 7973, 1, 2.23, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2045, 7910, 1, 2.24, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2045, 7910, 1, 1.49, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2045, 7910, 1, 0.29, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2045, 7910, 1, 0.62, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 2045, 7910, 1, 0.29, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2045, 7910, 1, 5.07, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5087, 7910, 1, 6.06, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5087, 7910, 1, 4.04, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5087, 7910, 1, 0.79, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5087, 7910, 1, 1.67, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5087, 7910, 1, 0.79, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5087, 7910, 1, 13.71, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5085, 7910, 1, 0.22, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5085, 7910, 1, 0.15, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 7910, 1, 0.03, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5085, 7910, 1, 0.06, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5085, 7910, 1, 0.03, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 7910, 1, 0.51, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5080, 7910, 1, 1.89, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5080, 7910, 1, 1.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5080, 7910, 1, 0.25, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5080, 7910, 1, 0.52, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5080, 7910, 1, 0.25, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5080, 7910, 1, 4.28, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5095, 7910, 1, 1.96, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5095, 7910, 1, 1.31, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5095, 7910, 1, 0.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5095, 7910, 1, 0.54, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5095, 7910, 1, 0.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5095, 7910, 1, 4.43, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2040, 7910, 1, 17.92, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2040, 7910, 1, 11.95, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2040, 7910, 1, 2.34, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2040, 7910, 1, 4.94, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 2040, 7910, 1, 2.34, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2040, 7910, 1, 40.51, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5085, 7910, 1, 85.97, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5085, 7910, 1, 57.34, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 7910, 1, 11.21, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5085, 7910, 1, 23.68, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5085, 7910, 1, 11.21, 0.00
